id,placename,municipality,province,population
164020,Greater Chatsworth,Swartland,Western Cape,1726
164021,Chatsworth,Swartland,Western Cape,2326
164022,Kalbaskraal,Swartland,Western Cape,2411
165001,Witzenberg NU,Witzenberg,Western Cape,52200
165002,Op-die-berg,Witzenberg,Western Cape,1531
165003,Meulstroom,Witzenberg,Western Cape,1084
165004,Tulbagh,Witzenberg,Western Cape,8969
165005,Prince Alfred Hamlet,Witzenberg,Western Cape,6810
165006,Bella Vista,Witzenberg,Western Cape,13460
165007,Ceres,Witzenberg,Western Cape,10413
165008,eNduli,Witzenberg,Western Cape,9351
165009,Wolseley,Witzenberg,Western Cape,1528
165010,Pine Valley,Witzenberg,Western Cape,4340
165011,Montana,Witzenberg,Western Cape,6262
166001,Saron,Drakenstein,Western Cape,7843
166002,Drakenstein NU,Drakenstein,Western Cape,36995
166003,Gouda,Drakenstein,Western Cape,3441
166004,Onverwacht,Drakenstein,Western Cape,830
166005,Wellington,Drakenstein,Western Cape,55543
166006,Diemersfontein,Drakenstein,Western Cape,84
166007,Mbekweni,Drakenstein,Western Cape,30875
166008,Paarl,Drakenstein,Western Cape,112045
166009,Val De Vie,Drakenstein,Western Cape,303
166010,Water-Vliet,Drakenstein,Western Cape,476
166011,Victor Verster,Drakenstein,Western Cape,2827
167001,Klapmuts,Stellenbosch,Western Cape,7703
167002,Stellenbosch NU,Stellenbosch,Western Cape,35570
167003,Elsenburg,Stellenbosch,Western Cape,744
167004,De Hollandsche,Stellenbosch,Western Cape,192
167005,Koelenhof,Stellenbosch,Western Cape,302
167006,Pniel,Stellenbosch,Western Cape,1975
167007,Franschhoek,Stellenbosch,Western Cape,17556
167008,Languedoc,Stellenbosch,Western Cape,4289
167009,Wiesiesdraai,Stellenbosch,Western Cape,1727
167010,Welgevonden,Stellenbosch,Western Cape,2493
167011,Cloetesville,Stellenbosch,Western Cape,15390
167012,Khayamandi,Stellenbosch,Western Cape,24645
167013,Pappegaai,Stellenbosch,Western Cape,0
167014,La Colline,Stellenbosch,Western Cape,1497
167015,Tennantville,Stellenbosch,Western Cape,563
167016,Kylemore,Stellenbosch,Western Cape,4328
167017,Idasvallei,Stellenbosch,Western Cape,8762
167018,Stellenbosch,Stellenbosch,Western Cape,19068
167019,Onder Papegaaiberg,Stellenbosch,Western Cape,1504
167020,Devon Valley,Stellenbosch,Western Cape,215
167021,Robertsvlei,Stellenbosch,Western Cape,9
167022,Dalsig,Stellenbosch,Western Cape,1234
167023,Kleingeluk,Stellenbosch,Western Cape,226
167024,Paradyskloof,Stellenbosch,Western Cape,1614
167025,Brandwacht,Stellenbosch,Western Cape,265
167026,Jamestown,Stellenbosch,Western Cape,2840
167027,Lynedoch,Stellenbosch,Western Cape,108
167028,Raithby,Stellenbosch,Western Cape,908
167029,Stellenbosch Rural,Stellenbosch,Western Cape,5
168001,Touwsrivier,Breede Valley,Western Cape,8126
168002,Breede Valley NU,Breede Valley,Western Cape,46075
168003,De Doorns,Breede Valley,Western Cape,10583
168004,Hassie Square,Breede Valley,Western Cape,522
168005,Ekupumeleni,Breede Valley,Western Cape,173
168006,Zweletemba,Breede Valley,Western Cape,18172
168007,Worcester,Breede Valley,Western Cape,78906
168008,Rawsonville,Breede Valley,Western Cape,3099
168009,Brandvlei,Breede Valley,Western Cape,1171
169001,Montagu,Langeberg,Western Cape,15176
169002,Langeberg NU,Langeberg,Western Cape,29292
169003,Robertson,Langeberg,Western Cape,21929
169004,Nkqubela,Langeberg,Western Cape,5786
169005,Zolani,Langeberg,Western Cape,5598
169006,Ashton,Langeberg,Western Cape,7727
169007,Bonnievale,Langeberg,Western Cape,9092
169008,Mcgregor,Langeberg,Western Cape,3125
170001,Barrydale,Swellendam,Western Cape,4156
170002,Swellendam NU,Swellendam,Western Cape,10397
170003,Suurbraak,Swellendam,Western Cape,2252
170004,Buffelsjagrivier,Swellendam,Western Cape,1439
170005,Swellendam,Swellendam,Western Cape,17537
170006,Malgas,Swellendam,Western Cape,44
170007,Infanta,Swellendam,Western Cape,90
171001,Villiersdorp,Theewaterskloof,Western Cape,10004
171002,Theewaterskloof NU,Theewaterskloof,Western Cape,34200
171003,Hottentots Holland Nature Reserve,Theewaterskloof,Western Cape,0
171004,Genadendal,Theewaterskloof,Western Cape,5663
171005,Dennehof,Theewaterskloof,Western Cape,121
171006,Greyton,Theewaterskloof,Western Cape,2780
171007,Riviersonderend,Theewaterskloof,Western Cape,5245
171008,Elgin,Theewaterskloof,Western Cape,953
171009,Grabouw,Theewaterskloof,Western Cape,30337
171010,Middleton,Theewaterskloof,Western Cape,963
171011,Caledon,Theewaterskloof,Western Cape,13020
171012,Botrivier,Theewaterskloof,Western Cape,5505
172001,Lebanon,Overstrand,Western Cape,74
172002,Highlands,Overstrand,Western Cape,75
172003,Kogelberg,Overstrand,Western Cape,3
172004,Betty's Bay,Overstrand,Western Cape,1380
172005,Overstrand NU,Overstrand,Western Cape,5100
172006,Rooiels,Overstrand,Western Cape,125
172007,Arabella Country Estate,Overstrand,Western Cape,67
172008,Paarde Poort,Overstrand,Western Cape,0
172009,Kleinmond,Overstrand,Western Cape,6634
172010,Pringle Bay,Overstrand,Western Cape,801
172011,Fisherhaven,Overstrand,Western Cape,723
172012,Hawston,Overstrand,Western Cape,8214
172013,Onrus River,Overstrand,Western Cape,5151
172014,Hermanus,Overstrand,Western Cape,10457
172015,Fernkloof,Overstrand,Western Cape,0
172016,Vogelgat,Overstrand,Western Cape,4
172017,Sand Bay,Overstrand,Western Cape,4102
172018,Zwelihle,Overstrand,Western Cape,18210
172019,Stanford,Overstrand,Western Cape,4797
172020,Gans Bay,Overstrand,Western Cape,11598
172021,Birkenhead,Overstrand,Western Cape,56
172022,Van Dyks Bay,Overstrand,Western Cape,500
172023,Franskraalstrand,Overstrand,Western Cape,1165
172024,Baardscheerders Bosch,Overstrand,Western Cape,103
172025,Pearly Beach,Overstrand,Western Cape,1042
172026,Wolvengat,Overstrand,Western Cape,50
173001,Napier,Cape Agulhas,Western Cape,4214
173002,Cape Agulhas NU,Cape Agulhas,Western Cape,6152
173003,Bredasdorp,Cape Agulhas,Western Cape,15524
173004,Elim,Cape Agulhas,Western Cape,1412
173005,Arniston,Cape Agulhas,Western Cape,1267
173006,Struisbaai,Cape Agulhas,Western Cape,3877
173007,Agulhas,Cape Agulhas,Western Cape,548
173008,Suiderstrand,Cape Agulhas,Western Cape,44
174001,Ladismith,Kannaland,Western Cape,3742
174002,Nissenville,Kannaland,Western Cape,3385
174003,Kannaland NU,Kannaland,Western Cape,7864
174004,Zoar,Kannaland,Western Cape,4659
174005,Calitzdorp,Kannaland,Western Cape,4284
174006,Van Wyksdorp,Kannaland,Western Cape,833
175001,Riversdale,Hessequa,Western Cape,16176
175002,Hessequa NU,Hessequa,Western Cape,11586
175003,Heidelberg,Hessequa,Western Cape,8259
175004,Slangrivier,Hessequa,Western Cape,3011
175005,Albertinia,Hessequa,Western Cape,6372
175006,Melkhoutfontein,Hessequa,Western Cape,2533
175007,Gouritsmond,Hessequa,Western Cape,515
175008,Still Bay,Hessequa,Western Cape,3514
175009,Witsand,Hessequa,Western Cape,0
175010,Port Beaufort,Hessequa,Western Cape,321
175011,Groot Jongensfontein,Hessequa,Western Cape,355
176001,Ruitersbos State Forest,Mossel Bay,Western Cape,451
176002,Jonkersberg State Forest,Mossel Bay,Western Cape,114
176003,Mossel Bay NU,Mossel Bay,Western Cape,4236
176004,Friemersheim,Mossel Bay,Western Cape,1235
176005,Herbertsdale,Mossel Bay,Western Cape,666
176006,Groot Brakrivier,Mossel Bay,Western Cape,10619
176007,Tergniet,Mossel Bay,Western Cape,1264
176008,Reebok,Mossel Bay,Western Cape,1112
176009,Klein Brakrivier,Mossel Bay,Western Cape,2037
176010,Brandwacht,Mossel Bay,Western Cape,1470
176011,Hartenbos,Mossel Bay,Western Cape,4196
176012,Vyf Brakke Fonteinen,Mossel Bay,Western Cape,2632
176013,KwaNonqaba,Mossel Bay,Western Cape,27561
176014,Mossel Bay,Mossel Bay,Western Cape,29887
176015,Isinyoka,Mossel Bay,Western Cape,811
176016,Asazani,Mossel Bay,Western Cape,772
176017,Mossdustria,Mossel Bay,Western Cape,65
176018,Blue Ridge,Mossel Bay,Western Cape,7
176019,Moquini Coastal Estate,Mossel Bay,Western Cape,22
176020,Nautilus Bay,Mossel Bay,Western Cape,10
176021,Springerbaai,Mossel Bay,Western Cape,1
176022,Boggoms Bay,Mossel Bay,Western Cape,69
176023,Vlees Bay,Mossel Bay,Western Cape,193
177001,Swartberg State Forest,George,Western Cape,0
177002,George NU,George,Western Cape,22360
177003,Formosa State Forest,George,Western Cape,0
177004,Uniondale,George,Western Cape,4525
177005,Haarlem,George,Western Cape,2376
177006,George,George,Western Cape,114291
177007,Thembalethu,George,Western Cape,43103
177008,Wilderness,George,Western Cape,6164
177009,Wilderness Lake Area,George,Western Cape,149
177010,Herolds Bay,George,Western Cape,704
178001,De Rust,Oudtshoorn,Western Cape,3566
178002,Oudtshoorn NU,Oudtshoorn,Western Cape,17694
178003,Dysselsdorp,Oudtshoorn,Western Cape,12544
178004,Oudtshoorn,Oudtshoorn,Western Cape,29143
178005,Bongolethu,Oudtshoorn,Western Cape,14724
178006,Bridgeton,Oudtshoorn,Western Cape,17640
178007,De Hoop,Oudtshoorn,Western Cape,151
178008,Armoed,Oudtshoorn,Western Cape,472
179001,Bitou NU,Bitou,Western Cape,4954
179002,Kurland,Bitou,Western Cape,4033
179003,Nature's Valley,Bitou,Western Cape,460
179004,Keurboomstrand,Bitou,Western Cape,475
179005,Wittedrift,Bitou,Western Cape,1822
179006,Bossiesgerf,Bitou,Western Cape,1444
179007,New Horizons,Bitou,Western Cape,9869
179008,Kwanokuthula,Bitou,Western Cape,14016
179009,Plettenberg Bay,Bitou,Western Cape,6475
179010,Kranshoek,Bitou,Western Cape,5597
179011,Bosluiskop,Bitou,Western Cape,18
180001,Karatara,Knysna,Western Cape,880
180002,Knysna NU,Knysna,Western Cape,4222
180003,Rheenendal,Knysna,Western Cape,3936
180004,Swartvlei,Knysna,Western Cape,20
180005,Phantom Pass,Knysna,Western Cape,35
180006,Montmere,Knysna,Western Cape,75
180007,Sedgefield,Knysna,Western Cape,8286
180008,Myoli Beach,Knysna,Western Cape,42
180009,Knysna,Knysna,Western Cape,51078
180010,Goukamma Nature Reserve,Knysna,Western Cape,13
180011,Buffelsbaai,Knysna,Western Cape,71
181001,Laingsburg NU,Laingsburg,Western Cape,2200
181002,Laingsburg,Laingsburg,Western Cape,5667
181003,Matjiesfontein,Laingsburg,Western Cape,422
182001,Bitterwater,Prince Albert,Western Cape,2123
182002,Leeu Gamka,Prince Albert,Western Cape,604
182003,Prince Albert NU,Prince Albert,Western Cape,2771
182004,Prince Albert,Prince Albert,Western Cape,7054
182005,Klaarstroom,Prince Albert,Western Cape,584
183001,Murraysburg,Beaufort West,Western Cape,167
183002,Rooivlakte,Beaufort West,Western Cape,4902
183003,Nelspoort,Beaufort West,Western Cape,1699
183004,Beaufort West NU,Beaufort West,Western Cape,7141
183005,Beaufort West,Beaufort West,Western Cape,20066
183006,New Town,Beaufort West,Western Cape,529
183007,Kwa-Mandlenkosi,Beaufort West,Western Cape,5249
183008,Rustdene,Beaufort West,Western Cape,8241
183009,Merweville,Beaufort West,Western Cape,1592
199001,Mamre,City of Cape Town,Western Cape,9048
199002,Cape Metro,City of Cape Town,Western Cape,11916
199003,Pella,City of Cape Town,Western Cape,1681
199004,Atlantis,City of Cape Town,Western Cape,67491
199005,Cape Farms,City of Cape Town,Western Cape,1563
199006,Philadelphia,City of Cape Town,Western Cape,570
199007,Melkbosstrand,City of Cape Town,Western Cape,11586
199008,Klipheuwel,City of Cape Town,Western Cape,2294
199009,Cape Town NU,City of Cape Town,Western Cape,485
199010,Durhamville,City of Cape Town,Western Cape,323
199011,Fistantekraal,City of Cape Town,Western Cape,12369
199012,Robben Island,City of Cape Town,Western Cape,116
199013,Blouberg,City of Cape Town,Western Cape,106222
199014,Milnerton,City of Cape Town,Western Cape,95630
199015,Parow,City of Cape Town,Western Cape,119462
199016,Bellville,City of Cape Town,Western Cape,112507
199017,Durbanville,City of Cape Town,Western Cape,54286
199018,Kraaifontein,City of Cape Town,Western Cape,154615
199019,Brackenfell,City of Cape Town,Western Cape,44842
199020,Kuils River,City of Cape Town,Western Cape,46686
199021,Belhar,City of Cape Town,Western Cape,56234
199022,Blackheath,City of Cape Town,Western Cape,56114
199023,Delft,City of Cape Town,Western Cape,152030
199024,Matroosfontein,City of Cape Town,Western Cape,77121
199025,Elsies Rivier,City of Cape Town,Western Cape,42479
199026,Goodwood,City of Cape Town,Western Cape,50285
199027,Epping Industria,City of Cape Town,Western Cape,50
199028,Langa,City of Cape Town,Western Cape,52401
199029,Athlone,City of Cape Town,Western Cape,237414
199030,Gugulethu,City of Cape Town,Western Cape,98468
199031,Nyanga,City of Cape Town,Western Cape,57996
199032,Crossroads,City of Cape Town,Western Cape,36043
199033,Philippi,City of Cape Town,Western Cape,200603
199034,Mfuleni,City of Cape Town,Western Cape,52274
199035,Blue Downs,City of Cape Town,Western Cape,92330
199036,Eerste Rivier,City of Cape Town,Western Cape,39237
199037,Macassar,City of Cape Town,Western Cape,33225
199038,Khayelitsha,City of Cape Town,Western Cape,391749
199039,Mitchells Plain,City of Cape Town,Western Cape,310485
199040,Grassy Park,City of Cape Town,Western Cape,82199
199041,Cape Town,City of Cape Town,Western Cape,433688
199042,Hout Bay,City of Cape Town,Western Cape,17900
199043,Imizamo Yethu,City of Cape Town,Western Cape,15538
199044,Helderberg Nature Reserve,City of Cape Town,Western Cape,4
199045,Somerset West,City of Cape Town,Western Cape,55166
199046,Nomzamo,City of Cape Town,Western Cape,60528
199047,Strand,City of Cape Town,Western Cape,55558
199048,City of Cape Town NU,City of Cape Town,Western Cape,1560
199049,Hottentots Holland Nature Reserve,City of Cape Town,Western Cape,0
199050,Muizenberg,City of Cape Town,Western Cape,36857
199051,Noordhoek,City of Cape Town,Western Cape,31980
199052,Fish Hoek,City of Cape Town,Western Cape,11890
199053,Simon's Town,City of Cape Town,Western Cape,6569
199054,Kommetjie,City of Cape Town,Western Cape,16911
199055,Gordons Bay,City of Cape Town,Western Cape,16776
199056,Scarborough,City of Cape Town,Western Cape,1075
199057,Castle Rock,City of Cape Town,Western Cape,5595
199058,Smitswinkelbaai,City of Cape Town,Western Cape,4
260001,South Down,Buffalo City,Eastern Cape,505
260002,Esixekweni A,Buffalo City,Eastern Cape,374
260003,Mngqalasini,Buffalo City,Eastern Cape,418
260004,Tukayi A,Buffalo City,Eastern Cape,838
260005,Esixekweni B,Buffalo City,Eastern Cape,555
260006,Ngingiqini,Buffalo City,Eastern Cape,484
260007,Nkqonkqweni A,Buffalo City,Eastern Cape,1546
260008,Mtshonyaneni,Buffalo City,Eastern Cape,470
260009,KwaNdayi,Buffalo City,Eastern Cape,661
260010,Buffalo City NU,Buffalo City,Eastern Cape,10359
260011,Mdange,Buffalo City,Eastern Cape,460
260012,Tukayi B,Buffalo City,Eastern Cape,451
260013,eDrayini,Buffalo City,Eastern Cape,534
260014,Tyusha,Buffalo City,Eastern Cape,1289
260015,Kwelerana,Buffalo City,Eastern Cape,325
260016,Macleantown,Buffalo City,Eastern Cape,580
260017,Pirie Mission,Buffalo City,Eastern Cape,356
260018,eMangweni,Buffalo City,Eastern Cape,311
260019,Nkosiyane,Buffalo City,Eastern Cape,189
260020,Mngqesha,Buffalo City,Eastern Cape,1228
260021,Mpundu,Buffalo City,Eastern Cape,461
260022,Ngqeleni,Buffalo City,Eastern Cape,238
260023,Jaftas,Buffalo City,Eastern Cape,442
260024,KwaBelekile,Buffalo City,Eastern Cape,367
260025,KwaBuso,Buffalo City,Eastern Cape,771
260026,Dikazi,Buffalo City,Eastern Cape,5
260027,KwaNyande,Buffalo City,Eastern Cape,341
260028,KwaNtsipho,Buffalo City,Eastern Cape,5
260029,Trastini,Buffalo City,Eastern Cape,552
260030,Zinyoka,Buffalo City,Eastern Cape,731
260031,Yellow Wood,Buffalo City,Eastern Cape,242
260032,Bisho,Buffalo City,Eastern Cape,11192
260033,eBhalasi,Buffalo City,Eastern Cape,2457
260034,Mzintshane,Buffalo City,Eastern Cape,607
260035,Jongamsabomvu,Buffalo City,Eastern Cape,0
260036,Modaka,Buffalo City,Eastern Cape,1745
260037,Zabalaza,Buffalo City,Eastern Cape,1188
260038,Ngcamngeni,Buffalo City,Eastern Cape,202
260039,Dimbaza,Buffalo City,Eastern Cape,21783
260040,Nomgwadla,Buffalo City,Eastern Cape,2384
260041,KwaMdingi,Buffalo City,Eastern Cape,648
260042,KwaNkola,Buffalo City,Eastern Cape,398
260043,Tyutyu,Buffalo City,Eastern Cape,2676
260044,King William's Town,Buffalo City,Eastern Cape,34019
260045,KwaMasingata,Buffalo City,Eastern Cape,1204
260046,KwaDikidikana,Buffalo City,Eastern Cape,930
260047,Ngqingeni,Buffalo City,Eastern Cape,490
260048,eSingeni,Buffalo City,Eastern Cape,1343
260049,Ngqika,Buffalo City,Eastern Cape,283
260050,uMzantsi,Buffalo City,Eastern Cape,1373
260051,KwaMamata,Buffalo City,Eastern Cape,887
260052,Mamata,Buffalo City,Eastern Cape,459
260053,Zikwaba,Buffalo City,Eastern Cape,747
260054,Kwetyana,Buffalo City,Eastern Cape,5863
260055,KwaMpundu,Buffalo City,Eastern Cape,1544
260056,Ncalukeni,Buffalo City,Eastern Cape,1892
260057,St Mary,Buffalo City,Eastern Cape,595
260058,eMxhaxho,Buffalo City,Eastern Cape,1637
260059,Tolofiyeni,Buffalo City,Eastern Cape,2613
260060,Berlin,Buffalo City,Eastern Cape,3048
260061,Ilitha,Buffalo City,Eastern Cape,8145
260062,Eluxolweni,Buffalo City,Eastern Cape,15300
260063,Gwiqi,Buffalo City,Eastern Cape,809
260064,Saye,Buffalo City,Eastern Cape,292
260065,Bulembu,Buffalo City,Eastern Cape,1212
260066,Nqonqweni,Buffalo City,Eastern Cape,1766
260067,KwaMzonkeshe,Buffalo City,Eastern Cape,875
260068,Nxaruni,Buffalo City,Eastern Cape,1481
260069,Cuba B,Buffalo City,Eastern Cape,356
260070,Mxaxo,Buffalo City,Eastern Cape,702
260071,Anders Mission,Buffalo City,Eastern Cape,390
260072,KwaRayi,Buffalo City,Eastern Cape,1144
260073,Ginsberg,Buffalo City,Eastern Cape,10766
260074,KwaLini,Buffalo City,Eastern Cape,1696
260075,Ngxwalane,Buffalo City,Eastern Cape,1027
260076,Rhayi,Buffalo City,Eastern Cape,327
260077,KwaNoncampa,Buffalo City,Eastern Cape,1552
260078,Nahoon Dam Settlement,Buffalo City,Eastern Cape,131
260079,Nqcamgeni,Buffalo City,Eastern Cape,496
260080,Sandisiwe,Buffalo City,Eastern Cape,515
260081,Potsdam East,Buffalo City,Eastern Cape,1664
260082,Potsdam South,Buffalo City,Eastern Cape,5329
260083,Mbekweni,Buffalo City,Eastern Cape,2048
260084,Gwaba,Buffalo City,Eastern Cape,874
260085,KwaTshatshu,Buffalo City,Eastern Cape,4719
260086,Zwelitsha,Buffalo City,Eastern Cape,18189
260087,Cuba A,Buffalo City,Eastern Cape,467
260088,Mdantsane,Buffalo City,Eastern Cape,156835
260089,Potsdam Village,Buffalo City,Eastern Cape,5649
260090,Kwelera,Buffalo City,Eastern Cape,82
260091,KwaBhonke,Buffalo City,Eastern Cape,1174
260092,Sunrise-On-Sea,Buffalo City,Eastern Cape,655
260093,Chris Hani,Buffalo City,Eastern Cape,391
260094,Hillcrest,Buffalo City,Eastern Cape,290
260095,Tshabo 2,Buffalo City,Eastern Cape,1114
260096,Ndevana,Buffalo City,Eastern Cape,1283
260097,KwaKlifu,Buffalo City,Eastern Cape,748
260098,Izeleni,Buffalo City,Eastern Cape,1187
260099,Fort Murray,Buffalo City,Eastern Cape,728
260100,Luxhomo,Buffalo City,Eastern Cape,492
260101,KuLogaxa,Buffalo City,Eastern Cape,834
260102,Ducats,Buffalo City,Eastern Cape,3546
260103,Phakamisa,Buffalo City,Eastern Cape,6602
260104,Dongwe,Buffalo City,Eastern Cape,976
260105,Godidi,Buffalo City,Eastern Cape,677
260106,Gonubie,Buffalo City,Eastern Cape,11471
260107,Mzamonhle,Buffalo City,Eastern Cape,8338
260108,KwaMlakalaka,Buffalo City,Eastern Cape,1279
260109,Ndileka,Buffalo City,Eastern Cape,693
260110,KwaNdubungela,Buffalo City,Eastern Cape,568
260111,Mbolompeni,Buffalo City,Eastern Cape,750
260112,Nompumelelo,Buffalo City,Eastern Cape,7269
260113,East London,Buffalo City,Eastern Cape,267007
260114,Pefferville,Buffalo City,Eastern Cape,16380
260115,Nkxamnkwana,Buffalo City,Eastern Cape,431
260116,Mabaleni,Buffalo City,Eastern Cape,506
260117,Mzantsi,Buffalo City,Eastern Cape,526
260118,KwaQongqotha,Buffalo City,Eastern Cape,1425
260119,Qongqotha,Buffalo City,Eastern Cape,25
260120,Zixothyeni,Buffalo City,Eastern Cape,371
260121,Mntlabathi,Buffalo City,Eastern Cape,695
260122,Ntunja,Buffalo City,Eastern Cape,18
260123,Thornfield,Buffalo City,Eastern Cape,57
260124,Mount Coke Mission,Buffalo City,Eastern Cape,0
260125,eBongweni,Buffalo City,Eastern Cape,731
260126,Mount Coke Station,Buffalo City,Eastern Cape,52
260127,Bangilizwe,Buffalo City,Eastern Cape,131
260128,Lovedale SP,Buffalo City,Eastern Cape,81
260129,Need`s Camp,Buffalo City,Eastern Cape,6696
260130,Msundulo,Buffalo City,Eastern Cape,255
260131,Ezigodlweni,Buffalo City,Eastern Cape,875
260132,Silverdale,Buffalo City,Eastern Cape,647
260133,Gompo Town,Buffalo City,Eastern Cape,2254
260134,Mimosa Park,Buffalo City,Eastern Cape,181
260135,Rosendal,Buffalo City,Eastern Cape,344
260136,Kuni,Buffalo City,Eastern Cape,2179
260137,Goodhope,Buffalo City,Eastern Cape,2127
260138,Welcomewood,Buffalo City,Eastern Cape,837
260139,Ententeni,Buffalo City,Eastern Cape,2731
260140,Punzana,Buffalo City,Eastern Cape,314
260141,Tyeni,Buffalo City,Eastern Cape,303
260142,Corn Fields,Buffalo City,Eastern Cape,176
260143,Clydesdale,Buffalo City,Eastern Cape,193
260144,Sunny South,Buffalo City,Eastern Cape,218
260145,Rocklands,Buffalo City,Eastern Cape,83
260146,Gwili-Gwili,Buffalo City,Eastern Cape,365
260147,Inglewood,Buffalo City,Eastern Cape,868
260148,Hill,Buffalo City,Eastern Cape,216
260149,New Chalumna,Buffalo City,Eastern Cape,659
260150,New Hope,Buffalo City,Eastern Cape,617
260151,Tyhusha,Buffalo City,Eastern Cape,470
260152,KwaAltile,Buffalo City,Eastern Cape,313
260153,Wesleyville,Buffalo City,Eastern Cape,418
260154,KwaKalkeni,Buffalo City,Eastern Cape,129
260155,Chalumna A,Buffalo City,Eastern Cape,526
260156,Tsaba,Buffalo City,Eastern Cape,457
260157,Mabel's Rest,Buffalo City,Eastern Cape,837
260158,Richmond Pines,Buffalo City,Eastern Cape,640
260159,Twecwana,Buffalo City,Eastern Cape,571
260160,Kidd's Beach,Buffalo City,Eastern Cape,499
260161,Sandile,Buffalo City,Eastern Cape,855
260162,Mpongo,Buffalo City,Eastern Cape,202
260163,Khayelitsha,Buffalo City,Eastern Cape,649
260164,Ncera,Buffalo City,Eastern Cape,1245
260165,iKhiwane,Buffalo City,Eastern Cape,1039
260166,eJojweni,Buffalo City,Eastern Cape,1818
260167,Cosy Corner,Buffalo City,Eastern Cape,111
260168,Chalumna B,Buffalo City,Eastern Cape,158
260169,Gqala,Buffalo City,Eastern Cape,651
260170,Xhama,Buffalo City,Eastern Cape,993
260171,Carrington,Buffalo City,Eastern Cape,71
260172,Ntlalwini,Buffalo City,Eastern Cape,172
260173,Christmas Rock,Buffalo City,Eastern Cape,329
260174,Phozi,Buffalo City,Eastern Cape,741
260175,Sea Vale,Buffalo City,Eastern Cape,291
260176,KwaNgcamama,Buffalo City,Eastern Cape,486
260177,Dyam Dyam,Buffalo City,Eastern Cape,339
260178,Kayser's Beach,Buffalo City,Eastern Cape,697
260179,Mozana,Buffalo City,Eastern Cape,263
260180,Rala,Buffalo City,Eastern Cape,258
